account_id,risk_score,triggered_patterns,evidence
ACC002990,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | rapid_passthrough: received 7794 (240.5x its own typical transaction size), forwarded 7628 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004062,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | rapid_passthrough: received 13038 (208.2x its own typical transaction size), forwarded 11857 within 2h | rapid_passthrough: received 4266 (68.1x its own typical transaction size), forwarded 4138 within 2h"
ACC001995,90,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 8 accounts feeding a common recipient within 400min | rapid_passthrough: received 10812 (132.3x its own typical transaction size), forwarded 9761 within 2h"
ACC000051,89,fan_in_aggregation;fan_out_smurfing;rapid_passthrough,"fan_out_smurfing: received funds as one of 40 rapid recipients from a single source within 10min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 6105 (199.4x its own typical transaction size), forwarded 5922 within 2h"
ACC002316,88,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 186min | fan_in_aggregation: received from 10 accounts within 400min (20.0x its own baseline rate); followed by rapid outbound cash-out | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min
ACC001019,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 5937 (143.0x its own typical transaction size), forwarded 5937 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000545,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 10936 (201.5x its own typical transaction size), forwarded 10217 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003461,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 8308 (281.3x its own typical transaction size), forwarded 7902 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001735,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 12407 (270.4x its own typical transaction size), forwarded 12109 within 2h"
ACC002525,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 11423 (335.8x its own typical transaction size), forwarded 11190 within 2h"
ACC002795,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 12109 (354.5x its own typical transaction size), forwarded 12109 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002061,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 5559 (131.6x its own typical transaction size), forwarded 5218 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002688,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 9005 (206.6x its own typical transaction size), forwarded 8754 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003079,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 6 accounts feeding a common recipient within 400min | rapid_passthrough: received 8660 (242.2x its own typical transaction size), forwarded 8313 within 2h"
ACC002971,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 10052 (481.7x its own typical transaction size), forwarded 10052 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000567,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 7731 (161.5x its own typical transaction size), forwarded 7212 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003186,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 9 accounts feeding a common recipient within 400min | rapid_passthrough: received 10101 (298.8x its own typical transaction size), forwarded 10101 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000047,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 10867 (288.3x its own typical transaction size), forwarded 9831 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003218,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 12791 (446.8x its own typical transaction size), forwarded 11534 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003220,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 14038 (357.6x its own typical transaction size), forwarded 13267 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004547,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 7528 (105.2x its own typical transaction size), forwarded 7528 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000451,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 10813 (277.6x its own typical transaction size), forwarded 10359 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003165,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 8249 (166.0x its own typical transaction size), forwarded 7998 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000911,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 7541 (201.7x its own typical transaction size), forwarded 7541 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003271,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 10692 (251.2x its own typical transaction size), forwarded 10101 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002804,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 13047 (481.1x its own typical transaction size), forwarded 12407 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000032,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 6 accounts feeding a common recipient within 400min | rapid_passthrough: received 7063 (154.3x its own typical transaction size), forwarded 7063 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001214,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 7394 (216.3x its own typical transaction size), forwarded 6812 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002216,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 9831 (264.0x its own typical transaction size), forwarded 9024 within 2h"
ACC001324,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 5469 (154.7x its own typical transaction size), forwarded 4961 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004901,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 8013 (199.3x its own typical transaction size), forwarded 7380 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002323,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 8662 (352.5x its own typical transaction size), forwarded 8662 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003511,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 5698 (118.3x its own typical transaction size), forwarded 5137 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002390,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 12697 (209.6x its own typical transaction size), forwarded 11857 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002035,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 8347 (251.5x its own typical transaction size), forwarded 7731 within 2h"
ACC004581,80,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 8 accounts feeding a common recipient within 400min | rapid_passthrough: received 7608 (207.8x its own typical transaction size), forwarded 7608 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002314,76,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 5 accounts feeding a common recipient within 400min | rapid_passthrough: received 4696 (85.5x its own typical transaction size), forwarded 4382 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001847,74,fan_in_aggregation;layering_chain;rapid_passthrough,"fan_in_aggregation: one of 9 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 4 accounts feeding a common recipient within 400min | rapid_passthrough: received 5218 (79.1x its own typical transaction size), forwarded 5023 within 2h"
ACC001249,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 14281 (406.6x its own typical transaction size), forwarded 13038 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000512,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 10217 (236.0x its own typical transaction size), forwarded 9645 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000718,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8539 (201.3x its own typical transaction size), forwarded 8086 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000627,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7902 (343.1x its own typical transaction size), forwarded 7366 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000621,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7380 (168.3x its own typical transaction size), forwarded 6953 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000593,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8559 (216.5x its own typical transaction size), forwarded 8559 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000091,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 11443 (432.0x its own typical transaction size), forwarded 10813 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001123,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8438 (159.4x its own typical transaction size), forwarded 7900 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000842,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9533 (231.8x its own typical transaction size), forwarded 9533 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001294,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7515 (198.6x its own typical transaction size), forwarded 6935 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001285,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7588 (205.7x its own typical transaction size), forwarded 7419 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001256,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8270 (192.0x its own typical transaction size), forwarded 7528 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001252,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9116 (323.5x its own typical transaction size), forwarded 8270 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001237,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 170 (3.9x its own typical transaction size), forwarded 10963 within 2h | rapid_passthrough: received 11857 (271.2x its own typical transaction size), forwarded 10963 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002408,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9645 (303.7x its own typical transaction size), forwarded 9645 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001911,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 11015 (306.4x its own typical transaction size), forwarded 10076 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001946,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 10076 (246.9x its own typical transaction size), forwarded 9533 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002093,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9024 (248.2x its own typical transaction size), forwarded 8559 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002070,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 4961 (148.7x its own typical transaction size), forwarded 4696 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002179,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6935 (219.2x its own typical transaction size), forwarded 6935 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002187,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7366 (278.8x its own typical transaction size), forwarded 6935 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002315,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6163 (184.5x its own typical transaction size), forwarded 5937 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002307,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 4767 (153.7x its own typical transaction size), forwarded 4390 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001839,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9534 (293.8x its own typical transaction size), forwarded 9116 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC001889,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7419 (223.9x its own typical transaction size), forwarded 7419 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003544,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7820 (203.6x its own typical transaction size), forwarded 7541 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003440,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6953 (194.8x its own typical transaction size), forwarded 6286 within 2h | rapid_passthrough: received 7998 (224.0x its own typical transaction size), forwarded 7394 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003354,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8819 (169.2x its own typical transaction size), forwarded 8539 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003298,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 11857 (262.7x its own typical transaction size), forwarded 10692 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003072,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6419 (190.1x its own typical transaction size), forwarded 6163 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003105,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 11534 (393.9x its own typical transaction size), forwarded 11534 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002943,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9040 (325.2x its own typical transaction size), forwarded 8188 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002974,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 11435 (249.8x its own typical transaction size), forwarded 10936 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002832,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8131 (144.5x its own typical transaction size), forwarded 7588 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002789,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 12310 (269.7x its own typical transaction size), forwarded 11423 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002901,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9096 (356.7x its own typical transaction size), forwarded 8662 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002896,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6935 (407.0x its own typical transaction size), forwarded 6935 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002643,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8054 (191.9x its own typical transaction size), forwarded 7820 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002584,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 4382 (124.9x its own typical transaction size), forwarded 4382 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC002419,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8579 (192.6x its own typical transaction size), forwarded 8347 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003644,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8086 (156.2x its own typical transaction size), forwarded 7608 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004556,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 5023 (166.3x its own typical transaction size), forwarded 4529 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004520,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 13267 (231.7x its own typical transaction size), forwarded 12791 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004382,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7628 (222.6x its own typical transaction size), forwarded 7063 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004381,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 10359 (200.5x its own typical transaction size), forwarded 10052 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004182,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 10014 (298.3x its own typical transaction size), forwarded 9504 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004241,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9761 (352.9x its own typical transaction size), forwarded 9040 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004097,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7212 (148.6x its own typical transaction size), forwarded 7212 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004038,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 5137 (155.4x its own typical transaction size), forwarded 4767 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003754,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9558 (273.8x its own typical transaction size), forwarded 9096 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003903,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6821 (179.0x its own typical transaction size), forwarded 6419 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003866,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 10963 (448.9x its own typical transaction size), forwarded 10963 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC003778,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8219 (226.8x its own typical transaction size), forwarded 7794 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004952,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 7863 (115.2x its own typical transaction size), forwarded 7515 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004598,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 8313 (298.9x its own typical transaction size), forwarded 8313 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004928,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 6812 (168.5x its own typical transaction size), forwarded 6812 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC004951,71,layering_chain;rapid_passthrough,"rapid_passthrough: received 9905 (392.1x its own typical transaction size), forwarded 9558 within 2h | layering_chain: part of 4-hop rapid P2P transfer chain | layering_chain: part of 4-hop rapid P2P transfer chain"
ACC000876,69,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 41 rapid recipients from a single source within 63min | fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min | fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
ACC000750,69,fan_in_aggregation;fan_out_smurfing,fan_out_smurfing: received funds as one of 41 rapid recipients from a single source within 63min | fan_out_smurfing: received funds as one of 8 rapid recipients from a single source within 157min | fan_in_aggregation: one of 10 accounts feeding a common recipient within 400min
