transaction_id,src_account,dst_account,pattern_type,is_fraud
496d3148-603,ACC004508,MERCHANT_RETAIL_35,normal,0
97ea6f25-42f,ACC003628,ACC001650,normal,0
e1ae5c50-7f9,ACC000883,MERCHANT_INSURANCE_42,normal,0
2e0c865e-768,ACC003202,MERCHANT_UTILITIES_11,normal,0
3d60b502-4ab,ACC001661,MERCHANT_RETAIL_28,normal,0
751bec5f-9c6,ACC004475,MERCHANT_RENT_16,normal,0
d03ee9b2-672,ACC003808,MERCHANT_FUEL_13,normal,0
2c854819-c01,ACC003114,MERCHANT_FUEL_9,normal,0
de292603-e00,ACC001455,MERCHANT_SUBSCRIPTION_36,normal,0
205c7ffa-eb8,ACC002732,MERCHANT_GROCERY_25,normal,0
b2382b46-ffc,ACC000375,MERCHANT_RENT_7,normal,0
60dedc94-a4f,ACC002243,MERCHANT_FUEL_7,normal,0
e572748e-bea,ACC004952,MERCHANT_UTILITIES_15,normal,0
5b5415b2-11b,ACC004949,MERCHANT_RESTAURANT_2,normal,0
c2ccae1b-bfe,ACC001240,MERCHANT_HEALTHCARE_29,normal,0
63a7b382-417,ACC002262,MERCHANT_RENT_2,normal,0
16b056e6-524,ACC000974,MERCHANT_RETAIL_33,normal,0
f7eb7b3d-571,EXTERNAL_PAYROLL,ACC003108,normal,0
c85790ee-fe4,ACC002417,MERCHANT_RENT_7,normal,0
4ae97d0b-96d,ACC002490,MERCHANT_INSURANCE_32,normal,0
e27913c3-dad,ACC002811,MERCHANT_HEALTHCARE_36,normal,0
2b02292c-dc8,ACC002320,MERCHANT_HEALTHCARE_24,normal,0
172da092-d5c,ACC003440,MERCHANT_SUBSCRIPTION_23,normal,0
42024b42-6b9,ACC000101,MERCHANT_RETAIL_30,normal,0
2b2b03bc-7b6,ACC002020,ACC001847,normal,0
949d0d84-126,ACC002829,MERCHANT_FUEL_17,normal,0
3204fbb5-7bb,ACC000779,MERCHANT_RESTAURANT_15,normal,0
0a1086f4-b24,ACC003138,MERCHANT_RESTAURANT_10,normal,0
bbcc892c-a8d,ACC003553,MERCHANT_INSURANCE_23,normal,0
669b8e9a-ec3,ACC001727,MERCHANT_RENT_8,normal,0
2ebfb938-60f,ACC002893,ACC000735,normal,0
a2d0c7d4-7b0,ACC001704,MERCHANT_FUEL_32,normal,0
104baf7e-14c,EXTERNAL_PAYROLL,ACC004709,normal,0
a12df93f-e5d,ACC001085,MERCHANT_UTILITIES_26,normal,0
f0144987-c57,ACC002899,ACC001818,normal,0
a0df2832-528,ACC001402,MERCHANT_SUBSCRIPTION_43,normal,0
1216c0ac-903,ACC002108,MERCHANT_UTILITIES_30,normal,0
74e1154e-fc4,ACC003157,MERCHANT_HEALTHCARE_29,normal,0
62fe5465-b5f,ACC001220,MERCHANT_SUBSCRIPTION_27,normal,0
f04fae86-0f8,ACC003993,MERCHANT_RETAIL_27,normal,0
a701769e-853,ACC002096,MERCHANT_INSURANCE_39,normal,0
baa9de4a-17b,ACC000104,MERCHANT_RESTAURANT_15,normal,0
7822c0af-541,ACC000805,MERCHANT_FUEL_9,normal,0
c73f8409-ea4,ACC004587,MERCHANT_GROCERY_30,normal,0
23605271-51b,ACC002897,MERCHANT_RETAIL_50,normal,0
e6727151-210,ACC001591,MERCHANT_RENT_35,normal,0
1cb8ad68-3ab,ACC002166,MERCHANT_SUBSCRIPTION_23,normal,0
cb508d79-34d,ACC003014,MERCHANT_RENT_3,normal,0
ce8ed412-d69,ACC004163,MERCHANT_GROCERY_41,normal,0
9b02707b-69a,ACC002815,MERCHANT_RENT_4,normal,0
14996192-ef9,ACC002592,MERCHANT_HEALTHCARE_4,normal,0
58fc66f8-f86,ACC000096,MERCHANT_GROCERY_3,normal,0
ac88cf4c-304,ACC004369,MERCHANT_FUEL_2,normal,0
c252d16a-3e1,ACC002061,MERCHANT_UTILITIES_43,normal,0
626c9302-0be,ACC002434,MERCHANT_FUEL_25,normal,0
21ddf047-d08,ACC002224,MERCHANT_RESTAURANT_26,normal,0
b26016da-bb9,ACC000230,MERCHANT_SUBSCRIPTION_9,normal,0
f3f34df2-c82,ACC001152,MERCHANT_GROCERY_33,normal,0
06a5ca4d-0d4,ACC004440,MERCHANT_HEALTHCARE_9,normal,0
0e09237a-f1f,ACC002309,MERCHANT_RESTAURANT_2,normal,0
73849c87-d12,ACC002540,MERCHANT_RESTAURANT_39,normal,0
74355012-80b,ACC000198,MERCHANT_INSURANCE_35,normal,0
517abf43-c37,ACC002748,MERCHANT_RENT_5,normal,0
a9991574-bef,ACC002534,MERCHANT_FUEL_9,normal,0
a010d7b2-ba4,ACC002360,MERCHANT_GROCERY_2,normal,0
b42ca652-4b5,ACC003106,MERCHANT_SUBSCRIPTION_7,normal,0
6bc77018-0d8,ACC004015,MERCHANT_RENT_44,normal,0
357c5ea9-f94,ACC004837,MERCHANT_RETAIL_45,normal,0
2e1a5ede-c9a,ACC002180,MERCHANT_UTILITIES_8,normal,0
2fdda8da-c24,ACC002534,MERCHANT_FUEL_44,normal,0
64df48b8-17a,ACC001776,MERCHANT_SUBSCRIPTION_29,normal,0
28ce62ab-a1d,ACC001511,MERCHANT_INSURANCE_16,normal,0
2e3eb01a-da1,ACC000513,MERCHANT_GROCERY_8,normal,0
8f51c413-afd,ACC002341,MERCHANT_RETAIL_13,normal,0
19cf873f-2ea,ACC004664,MERCHANT_GROCERY_20,normal,0
efd35a2b-da6,ACC000004,MERCHANT_SUBSCRIPTION_39,normal,0
44872340-79d,ACC003346,MERCHANT_SUBSCRIPTION_20,normal,0
2e9e3d10-323,ACC004008,MERCHANT_INSURANCE_7,normal,0
6f30d259-31c,ACC001130,MERCHANT_RENT_15,normal,0
58e1eb3a-eec,ACC003192,MERCHANT_RETAIL_5,normal,0
f22dfbe0-21f,ACC002683,MERCHANT_UTILITIES_12,normal,0
ee1936da-1fb,ACC001381,MERCHANT_UTILITIES_27,normal,0
6af21ea4-edd,ACC003101,MERCHANT_RESTAURANT_33,normal,0
d0ca113c-5a5,ACC003259,MERCHANT_RESTAURANT_34,normal,0
dceba904-23b,ACC002464,MERCHANT_RETAIL_9,normal,0
0144f46c-cda,ACC004661,MERCHANT_HEALTHCARE_26,normal,0
b2fd607e-74f,ACC002956,MERCHANT_RESTAURANT_36,normal,0
35edccc1-d07,ACC000350,MERCHANT_HEALTHCARE_3,normal,0
5bb72166-97d,ACC002264,MERCHANT_RETAIL_48,normal,0
20899606-20d,ACC002633,MERCHANT_GROCERY_18,normal,0
4fdb9250-e19,ACC002320,MERCHANT_RESTAURANT_49,normal,0
9c78fde9-04a,ACC003549,MERCHANT_RENT_46,normal,0
8d42b220-90c,ACC002468,MERCHANT_SUBSCRIPTION_41,normal,0
f8098501-cf7,ACC004679,MERCHANT_RETAIL_47,normal,0
44d4c8e3-e0c,ACC003839,MERCHANT_HEALTHCARE_14,normal,0
f560c67a-372,ACC001700,MERCHANT_GROCERY_17,normal,0
0c29c2c3-0da,EXTERNAL_PAYROLL,ACC004992,normal,0
21c461b4-6e8,ACC000277,MERCHANT_RENT_7,normal,0
9458fa77-3ac,ACC003318,MERCHANT_UTILITIES_39,normal,0
40b97be4-0ab,ACC000818,MERCHANT_INSURANCE_50,normal,0
47531e93-763,ACC001862,MERCHANT_INSURANCE_39,normal,0
0df32a04-18b,EXTERNAL_PAYROLL,ACC003904,normal,0
9ed0d21a-0be,ACC000120,MERCHANT_SUBSCRIPTION_37,normal,0
10d85381-f56,ACC002394,MERCHANT_RESTAURANT_40,normal,0
a8fb73f7-73a,ACC001395,MERCHANT_RETAIL_1,normal,0
144f994b-748,ACC004970,MERCHANT_HEALTHCARE_37,normal,0
151de799-6aa,ACC003390,MERCHANT_RETAIL_47,normal,0
81d441a7-2dc,ACC001973,MERCHANT_INSURANCE_46,normal,0
4d85574d-0b0,EXTERNAL_PAYROLL,ACC002569,normal,0
2ddabc6c-406,ACC001541,MERCHANT_SUBSCRIPTION_5,normal,0
a2cbf8eb-b52,ACC004952,MERCHANT_GROCERY_28,normal,0
d3a9fe7b-24f,ACC001275,ACC004357,normal,0
cb36734b-ab2,ACC003934,ACC002572,normal,0
ed4f31e5-f08,ACC002620,MERCHANT_RETAIL_46,normal,0
104bfc1a-65a,ACC004943,ACC002247,normal,0
69dd40b0-20b,ACC003363,MERCHANT_HEALTHCARE_38,normal,0
2457509a-1bf,ACC001578,MERCHANT_RESTAURANT_37,normal,0
b3ba5555-7ca,ACC004120,MERCHANT_UTILITIES_2,normal,0
3b7b17b7-53d,ACC000156,MERCHANT_UTILITIES_25,normal,0
e35eef4c-63d,ACC000852,MERCHANT_SUBSCRIPTION_35,normal,0
46340d85-08e,ACC004282,MERCHANT_UTILITIES_41,normal,0
bf8df3c4-ae6,ACC001846,MERCHANT_FUEL_35,normal,0
4aab34f3-23b,ACC004440,MERCHANT_INSURANCE_50,normal,0
5de16d6d-927,ACC001622,MERCHANT_GROCERY_41,normal,0
cafa3751-10c,ACC001434,MERCHANT_FUEL_50,normal,0
feaf5f7b-bdd,ACC001489,MERCHANT_FUEL_15,normal,0
c23cc971-054,ACC000654,ACC002552,normal,0
5025a440-fa5,ACC002310,MERCHANT_GROCERY_7,normal,0
7d0a3e4f-bd3,ACC003603,MERCHANT_RESTAURANT_36,normal,0
02f2e725-616,ACC002443,MERCHANT_UTILITIES_28,normal,0
62a04cf4-682,ACC003544,MERCHANT_RESTAURANT_17,normal,0
c98391bf-162,ACC000585,MERCHANT_HEALTHCARE_12,normal,0
db1a57a4-43f,ACC000089,MERCHANT_RENT_5,normal,0
c8c39fb3-a96,ACC004104,MERCHANT_INSURANCE_31,normal,0
eb1f31a7-606,ACC003936,MERCHANT_UTILITIES_7,normal,0
50ae76ee-b68,ACC002938,MERCHANT_RETAIL_26,normal,0
bcf0d399-b04,ACC001781,MERCHANT_UTILITIES_44,normal,0
2b7ef52d-824,ACC001135,MERCHANT_GROCERY_18,normal,0
b2c2fc68-061,ACC000749,MERCHANT_RESTAURANT_37,normal,0
1616debc-c71,ACC004699,MERCHANT_HEALTHCARE_49,normal,0
7556b047-2a5,ACC004366,MERCHANT_FUEL_41,normal,0
e7458f6c-7e3,ACC004843,MERCHANT_HEALTHCARE_36,normal,0
1cc039fd-caf,ACC004551,MERCHANT_HEALTHCARE_25,normal,0
95c10560-26c,ACC004641,MERCHANT_RETAIL_29,normal,0
91346996-5c2,ACC004277,MERCHANT_RENT_47,normal,0
e1b8c3f7-a04,ACC002662,ACC004002,normal,0
77cb630a-d7c,ACC004085,MERCHANT_GROCERY_19,normal,0
d0d2dc02-619,ACC003177,MERCHANT_HEALTHCARE_40,normal,0
2951e9ba-8fa,ACC002083,MERCHANT_RESTAURANT_47,normal,0
faba9cd0-579,ACC004738,MERCHANT_SUBSCRIPTION_46,normal,0
978c7762-c71,ACC002007,MERCHANT_RESTAURANT_14,normal,0
3404c0dd-13f,ACC000161,ACC001901,normal,0
cd1a7d9f-50a,ACC001190,MERCHANT_FUEL_27,normal,0
6373234a-44b,ACC003092,MERCHANT_INSURANCE_12,normal,0
570604e4-e6a,ACC000306,MERCHANT_RESTAURANT_2,normal,0
9ab207af-593,ACC002773,ACC002860,normal,0
faead88d-c87,ACC001058,MERCHANT_SUBSCRIPTION_10,normal,0
5e1947df-b2f,ACC000058,MERCHANT_RESTAURANT_26,normal,0
82a60558-1ca,ACC004252,MERCHANT_HEALTHCARE_25,normal,0
9fded610-382,ACC004205,MERCHANT_SUBSCRIPTION_9,normal,0
cc4c273a-b6e,ACC001857,MERCHANT_RETAIL_50,normal,0
0c0a4e7f-2f4,ACC001411,MERCHANT_INSURANCE_11,normal,0
60eb1dd4-fa5,ACC002247,MERCHANT_FUEL_17,normal,0
c2a52724-126,ACC004687,MERCHANT_SUBSCRIPTION_35,normal,0
46bcb937-80e,ACC002369,ACC000193,normal,0
492d9316-89b,ACC000434,MERCHANT_INSURANCE_30,normal,0
aae2954e-8e7,ACC003383,MERCHANT_UTILITIES_8,normal,0
b890e92e-9e5,ACC000396,MERCHANT_RETAIL_18,normal,0
2359c062-99c,ACC001420,MERCHANT_RETAIL_10,normal,0
6e8beecf-802,ACC001649,MERCHANT_SUBSCRIPTION_27,normal,0
496f4d7e-9c5,ACC001542,MERCHANT_HEALTHCARE_23,normal,0
d0bca46c-80a,ACC003092,MERCHANT_RENT_11,normal,0
b35c3ab3-ac9,ACC000973,MERCHANT_SUBSCRIPTION_35,normal,0
8331414c-eba,ACC000598,MERCHANT_GROCERY_25,normal,0
a65f8df3-29f,EXTERNAL_PAYROLL,ACC002482,normal,0
e65a1a3e-0e3,ACC000767,MERCHANT_RENT_26,normal,0
b23fcdf1-2ab,ACC003442,MERCHANT_HEALTHCARE_45,normal,0
9fd63fea-f6d,ACC003357,MERCHANT_HEALTHCARE_14,normal,0
1d19ec9d-e76,ACC001126,MERCHANT_UTILITIES_15,normal,0
d18a2357-e20,ACC000874,MERCHANT_FUEL_35,normal,0
7a981d52-960,ACC003358,MERCHANT_RESTAURANT_43,normal,0
b302f09c-fcf,ACC002114,MERCHANT_GROCERY_20,normal,0
d1500b8e-092,ACC001877,ACC000806,normal,0
ce86acc1-572,ACC003730,MERCHANT_SUBSCRIPTION_26,normal,0
e3a1d08c-832,ACC000024,ACC000436,layering_chain,1
b6adc4f3-d50,ACC003290,MERCHANT_UTILITIES_34,normal,0
6b526ae2-2c8,ACC002053,MERCHANT_GROCERY_15,normal,0
0d2d3eba-b64,ACC003253,MERCHANT_RESTAURANT_43,normal,0
51e859a6-4e0,ACC001798,MERCHANT_FUEL_39,normal,0
cb4c057f-c4c,ACC004602,MERCHANT_GROCERY_45,normal,0
4ddab6b8-99a,ACC000907,ACC000366,normal,0
a8996c8a-24c,ACC002197,MERCHANT_UTILITIES_4,normal,0
cc03bc17-2ad,ACC000697,MERCHANT_INSURANCE_19,normal,0
01e3dd3e-ba9,ACC003721,MERCHANT_GROCERY_41,normal,0
a7c7a2d3-2d6,ACC000092,MERCHANT_SUBSCRIPTION_47,normal,0
1f22ec01-494,ACC000187,MERCHANT_HEALTHCARE_16,normal,0
fa5630af-bd0,ACC002674,MERCHANT_RENT_11,normal,0
3cf61d51-e63,ACC000521,ACC000616,normal,0
87f603e9-2c7,ACC002295,MERCHANT_SUBSCRIPTION_10,normal,0
2278e1b3-ffa,ACC000472,MERCHANT_SUBSCRIPTION_38,normal,0
4ee1c3fa-841,ACC002936,MERCHANT_INSURANCE_24,normal,0
e7aefab9-6c8,ACC002783,MERCHANT_FUEL_19,normal,0
97cde76b-1d0,ACC002218,MERCHANT_UTILITIES_23,normal,0
3eece644-8b3,ACC001031,MERCHANT_GROCERY_11,normal,0
7b8eb047-a1e,ACC004002,MERCHANT_RETAIL_44,normal,0
26c40898-71b,ACC004932,MERCHANT_RENT_43,normal,0
4aedfb99-458,ACC000427,MERCHANT_FUEL_26,normal,0
d8433599-470,ACC003296,MERCHANT_RESTAURANT_47,normal,0
ae908681-c8b,ACC003442,MERCHANT_RESTAURANT_13,normal,0
32cb859f-f81,ACC003902,MERCHANT_HEALTHCARE_5,normal,0
d200c16d-6ac,ACC001747,MERCHANT_HEALTHCARE_15,normal,0
9fcf684d-fac,ACC001411,MERCHANT_FUEL_26,normal,0
ae65671c-200,ACC002797,MERCHANT_UTILITIES_13,normal,0
888b2446-1ac,ACC001195,MERCHANT_UTILITIES_38,normal,0
441a0f69-f1f,ACC000496,MERCHANT_RESTAURANT_13,normal,0
6c998cec-82e,ACC004785,MERCHANT_SUBSCRIPTION_49,normal,0
87ebd698-a85,ACC001894,MERCHANT_RESTAURANT_21,normal,0
a1cfc24b-25b,ACC003883,MERCHANT_RETAIL_39,normal,0
9ffb2897-14d,ACC002687,MERCHANT_HEALTHCARE_19,normal,0
8169b56d-b54,ACC002174,MERCHANT_INSURANCE_1,normal,0
894fb12c-e70,ACC003680,MERCHANT_RESTAURANT_29,normal,0
20684b5b-135,ACC001186,MERCHANT_SUBSCRIPTION_18,normal,0
08625731-38f,ACC002029,MERCHANT_HEALTHCARE_40,normal,0
a82641c3-90b,ACC000013,MERCHANT_INSURANCE_13,normal,0
84756a97-3f5,ACC003357,MERCHANT_INSURANCE_30,normal,0
add592a9-af1,ACC002501,MERCHANT_GROCERY_46,normal,0
e0f77dcc-468,ACC001709,MERCHANT_FUEL_4,normal,0
3763f324-1c8,ACC004384,MERCHANT_HEALTHCARE_22,normal,0
9a675e9a-27d,ACC000200,MERCHANT_SUBSCRIPTION_32,normal,0
484f40d5-5af,ACC000462,MERCHANT_HEALTHCARE_21,normal,0
b7c5f5c5-7f8,ACC002628,MERCHANT_UTILITIES_28,normal,0
01e6950e-8f4,ACC000829,MERCHANT_INSURANCE_13,normal,0
0456d2ce-1b0,ACC000458,MERCHANT_HEALTHCARE_4,normal,0
f0db1d83-c70,ACC003871,MERCHANT_FUEL_16,normal,0
96a91ab9-4e3,ACC002466,MERCHANT_INSURANCE_8,normal,0
52cf6400-3ed,ACC001389,MERCHANT_HEALTHCARE_7,normal,0
15ee180e-616,ACC000008,MERCHANT_SUBSCRIPTION_38,normal,0
2cfdc8d4-e02,ACC002896,MERCHANT_RETAIL_47,normal,0
31d34ab4-6d3,ACC003997,MERCHANT_RETAIL_8,normal,0
71b9bd0b-0d0,ACC004525,ACC004187,normal,0
ce9cc277-0c6,ACC004903,MERCHANT_RENT_43,normal,0
f2567a05-ca7,ACC004839,ACC000256,normal,0
8eebf39b-12b,ACC001416,MERCHANT_GROCERY_35,normal,0
957e5373-900,ACC004695,MERCHANT_RENT_44,normal,0
2fdbaa71-531,ACC000772,MERCHANT_RESTAURANT_16,normal,0
5c073700-6dd,ACC003106,MERCHANT_UTILITIES_9,normal,0
c7c6c06e-5b1,ACC001508,MERCHANT_FUEL_21,normal,0
4318d90e-e44,ACC003436,MERCHANT_UTILITIES_7,normal,0
d8736413-5aa,ACC000755,ACC002226,normal,0
4b31d3eb-5c5,ACC000961,MERCHANT_RESTAURANT_12,normal,0
77381aef-49b,ACC004873,MERCHANT_INSURANCE_26,normal,0
f7a36a37-49e,ACC001746,MERCHANT_RENT_45,normal,0
162a90a0-351,ACC001500,MERCHANT_UTILITIES_17,normal,0
d539f147-fef,ACC000258,MERCHANT_SUBSCRIPTION_26,normal,0
a4e4f8dc-f1a,ACC002629,MERCHANT_RENT_29,normal,0
1ce5b059-76d,ACC001833,MERCHANT_INSURANCE_40,normal,0
682fff19-684,ACC000020,MERCHANT_HEALTHCARE_45,normal,0
6a6a38cb-485,ACC002471,MERCHANT_RENT_28,normal,0
5d40d986-969,ACC004867,ACC002316,normal,0
53c6cb9e-370,ACC002913,MERCHANT_RENT_2,normal,0
9a3970c1-b74,ACC002917,MERCHANT_INSURANCE_10,normal,0
a4927471-6c8,ACC000838,MERCHANT_RETAIL_42,normal,0
aeeeeab5-c48,ACC003283,MERCHANT_INSURANCE_15,normal,0
026ad56b-f11,ACC001980,MERCHANT_UTILITIES_12,normal,0
5e0b5c4a-364,ACC001432,ACC001475,normal,0
7dc7cd46-8f8,ACC000093,MERCHANT_RETAIL_37,normal,0
209dda8b-379,ACC004759,MERCHANT_RESTAURANT_1,normal,0
ddb91651-10b,ACC000653,MERCHANT_GROCERY_41,normal,0
65cc9a57-81c,ACC002332,MERCHANT_FUEL_14,normal,0
231b8bd4-181,ACC002338,MERCHANT_SUBSCRIPTION_14,normal,0
6dc64444-f68,ACC003048,MERCHANT_UTILITIES_46,normal,0
e62b0046-499,ACC000798,MERCHANT_RESTAURANT_35,normal,0
1fb4932f-22e,ACC003106,MERCHANT_HEALTHCARE_40,normal,0
d2795e8d-35a,ACC000020,MERCHANT_GROCERY_48,normal,0
3bf45d50-fe2,ACC001588,ACC002891,normal,0
128c62a0-8c7,ACC004894,MERCHANT_GROCERY_20,normal,0
18180287-287,ACC004219,ACC003778,layering_chain,1
e8990fc7-1e2,ACC001591,MERCHANT_RESTAURANT_22,normal,0
594cfa9a-04d,ACC002418,MERCHANT_RESTAURANT_37,normal,0
1bc00375-3c1,ACC001320,ACC002378,normal,0
83c2c37d-56a,ACC000159,MERCHANT_FUEL_35,normal,0
6cef8c4c-b1a,ACC002470,MERCHANT_HEALTHCARE_18,normal,0
6ed82e1b-2fd,ACC002740,ACC001544,normal,0
3d719104-048,ACC000894,MERCHANT_FUEL_13,normal,0
9126e8ed-d95,ACC001810,MERCHANT_UTILITIES_1,normal,0
f7445f31-29e,ACC003368,MERCHANT_HEALTHCARE_19,normal,0
66f7cc35-f6b,ACC004448,ACC002288,normal,0
8aaaf767-429,ACC002573,MERCHANT_RENT_32,normal,0
