account_id,account_type,opened_date,payday,monthly_salary
ACC000153,small_business,2023-10-20,13,6201.73
ACC000154,retail,2025-12-22,12,4777.99
ACC000155,new_account,2025-10-28,8,0.0
ACC000156,retail,2025-06-24,5,2470.88
ACC000157,small_business,2023-12-25,17,2847.46
ACC000158,retail,2025-08-27,16,4890.88
ACC000159,retail,2023-10-24,3,2987.22
ACC000160,retail,2022-10-31,25,3037.51
ACC000161,retail,2025-09-10,2,1944.87
ACC000162,small_business,2024-12-25,28,2815.93
ACC000163,retail,2024-10-13,4,1613.81
ACC000164,retail,2024-10-13,5,4969.48
ACC000165,retail,2024-05-20,21,4777.72
ACC000166,retail,2025-02-06,6,3062.56
ACC000167,retail,2025-06-09,26,3858.95
ACC000168,retail,2025-09-28,22,5153.61
ACC000169,retail,2025-12-27,14,4552.22
ACC000170,retail,2025-05-16,20,1475.13
ACC000171,small_business,2025-07-14,3,5436.78
ACC000172,retail,2024-12-08,13,3070.63
ACC000173,retail,2022-09-25,13,1508.16
ACC000174,retail,2021-09-19,20,2915.45
ACC000175,retail,2025-07-26,15,1769.08
ACC000176,retail,2025-11-07,17,3896.64
ACC000177,retail,2025-10-28,9,3451.76
ACC000178,retail,2025-07-16,18,2046.83
ACC000179,retail,2025-04-20,28,2009.64
ACC000180,retail,2025-12-16,1,3646.85
ACC000181,retail,2025-08-24,22,2856.03
ACC000182,retail,2025-07-04,24,1970.23
ACC000183,retail,2024-09-20,4,2253.21
ACC000184,retail,2023-03-24,22,3247.34
ACC000185,retail,2025-08-25,18,3811.08
ACC000186,retail,2025-09-30,25,4035.97
ACC000187,retail,2025-04-11,9,1626.07
ACC000188,retail,2024-06-30,25,5149.99
ACC000189,retail,2025-09-07,21,3754.17
ACC000190,retail,2025-03-04,11,3376.18
ACC000191,retail,2025-05-09,4,1567.79
ACC000192,retail,2025-06-26,10,3233.71
ACC000193,retail,2025-07-30,14,2301.63
ACC000194,retail,2023-08-01,6,1934.07
ACC000195,retail,2024-10-04,15,2971.47
ACC000196,retail,2025-02-27,1,5388.26
ACC000197,retail,2024-07-03,24,1968.65
ACC000198,retail,2025-07-05,24,2762.43
ACC000199,retail,2025-01-28,9,1703.73
ACC000200,retail,2025-10-27,17,3733.82
ACC000201,retail,2025-10-23,25,2352.05
ACC000202,retail,2023-07-08,6,2109.92
ACC000203,retail,2025-03-10,17,3321.54
ACC000204,retail,2025-06-13,4,2921.65
ACC000205,small_business,2023-10-22,28,2366.79
ACC000206,retail,2024-10-17,21,4032.56
ACC000207,small_business,2025-02-10,10,1528.8
ACC000208,retail,2025-10-11,27,3704.65
ACC000209,retail,2025-05-25,21,1554.61
ACC000210,retail,2024-12-20,17,3038.85
ACC000211,retail,2025-01-18,20,2903.2
ACC000212,retail,2025-12-11,7,1836.46
ACC000213,retail,2025-11-05,5,4458.27
ACC000214,retail,2024-10-01,12,2366.68
ACC000215,retail,2025-01-04,25,1109.14
ACC000216,retail,2023-02-05,6,2167.31
ACC000217,retail,2022-05-01,18,3458.04
ACC000218,small_business,2025-10-14,25,2341.17
ACC000219,retail,2024-07-10,17,4755.76
ACC000220,retail,2024-04-07,1,3300.3
ACC000221,retail,2025-10-22,20,3490.43
ACC000222,retail,2025-03-11,11,2518.97
ACC000223,retail,2023-09-16,16,4819.79
ACC000224,retail,2025-06-26,1,2532.01
ACC000225,retail,2025-08-11,4,3003.0
ACC000226,retail,2023-06-27,12,5828.85
ACC000227,retail,2025-02-22,27,3275.57
ACC000228,retail,2022-12-04,26,4057.6
ACC000229,retail,2025-07-22,10,3413.18
ACC000230,retail,2025-03-03,8,2524.72
ACC000231,retail,2024-04-20,2,2480.6
ACC000232,retail,2024-07-06,8,2121.89
ACC000233,retail,2025-01-29,19,3610.47
ACC000234,retail,2024-02-13,3,3406.58
ACC000235,retail,2023-12-14,3,2675.92
ACC000236,retail,2025-10-29,24,2015.24
ACC000237,retail,2024-08-07,16,4221.06
ACC000238,retail,2025-02-23,27,5126.89
ACC000239,retail,2025-07-16,3,1463.39
ACC000240,retail,2022-10-12,25,5423.07
ACC000241,retail,2025-01-14,18,7929.15
ACC000242,retail,2023-10-02,25,3139.09
ACC000243,small_business,2025-02-02,5,3613.4
ACC000244,retail,2025-10-27,5,3260.23
ACC000245,retail,2024-12-24,22,5637.94
ACC000246,small_business,2023-02-27,16,2429.68
ACC000247,retail,2025-11-14,18,3048.15
ACC000248,retail,2025-06-12,6,4617.81
ACC000249,retail,2025-07-22,9,1988.54
ACC000250,retail,2023-03-29,17,1537.72
ACC000251,retail,2025-07-15,28,2606.3
ACC000252,retail,2025-05-06,20,5811.58
ACC000253,retail,2025-10-16,14,1013.58
ACC000254,small_business,2025-07-05,7,2916.92
ACC000255,retail,2024-11-27,18,2676.98
ACC000256,retail,2019-09-08,25,1914.84
ACC000257,retail,2025-01-05,24,2997.61
ACC000258,retail,2023-07-03,23,2952.33
ACC000259,retail,2025-10-09,7,2942.16
ACC000260,retail,2025-12-05,23,2398.58
ACC000261,retail,2025-05-05,10,1032.37
ACC000262,retail,2025-02-07,13,4612.86
ACC000263,retail,2025-10-13,22,1697.64
ACC000264,retail,2025-06-05,21,2183.91
ACC000265,retail,2025-10-26,12,4334.11
ACC000266,retail,2025-09-23,15,4957.33
ACC000267,retail,2024-10-13,17,2416.78
ACC000268,retail,2025-09-15,15,3625.51
ACC000269,retail,2025-09-12,4,3961.52
ACC000270,retail,2025-06-13,8,3560.67
ACC000271,retail,2025-10-02,8,3779.1
ACC000272,retail,2025-11-27,3,2633.8
ACC000273,retail,2025-12-22,11,3396.34
ACC000274,retail,2023-07-24,1,1807.24
ACC000275,retail,2025-07-18,19,2249.05
ACC000276,retail,2025-08-30,18,1697.0
ACC000277,retail,2025-06-05,8,1296.25
ACC000278,retail,2022-10-03,19,5875.71
ACC000279,retail,2025-11-02,8,2936.42
ACC000280,retail,2024-03-29,1,4634.67
ACC000281,retail,2025-12-23,3,3371.53
ACC000282,retail,2025-09-04,23,1504.07
ACC000283,retail,2024-01-12,21,3003.02
ACC000284,retail,2025-08-27,2,3425.6
ACC000285,retail,2023-04-25,8,3223.87
ACC000286,retail,2025-02-12,3,2015.56
ACC000287,retail,2024-01-24,2,3302.42
ACC000288,retail,2024-10-21,28,4416.38
ACC000289,retail,2023-04-24,11,1427.46
ACC000290,retail,2025-12-13,3,1786.78
ACC000291,retail,2024-07-15,17,3212.19
ACC000292,retail,2025-06-18,8,2203.6
ACC000293,retail,2025-07-10,9,2017.57
ACC000294,retail,2025-04-18,22,4543.52
ACC000295,retail,2022-12-24,16,2114.68
ACC000296,retail,2025-09-02,7,3944.68
ACC000297,retail,2025-12-11,18,8300.19
ACC000298,retail,2024-05-22,5,2868.59
ACC000299,retail,2025-12-01,24,2939.53
ACC000300,retail,2025-05-18,19,6053.07
ACC000301,retail,2024-02-18,19,3838.98
ACC000302,retail,2025-01-10,16,4398.51
ACC000303,retail,2025-11-24,8,2893.51
ACC000304,retail,2025-02-23,26,3821.01
ACC000305,retail,2024-07-23,16,3729.08
ACC000306,retail,2023-12-07,26,4593.11
ACC000307,retail,2025-04-08,14,3539.88
ACC000308,retail,2025-01-31,7,3239.18
ACC000309,small_business,2025-12-19,4,1934.45
ACC000310,small_business,2022-02-15,4,4542.63
ACC000311,small_business,2025-04-19,22,3014.92
ACC000312,retail,2024-01-26,14,3016.65
ACC000313,retail,2025-01-04,12,2505.39
ACC000314,retail,2024-09-12,14,2634.19
ACC000315,retail,2024-08-03,14,2766.26
ACC000316,retail,2024-04-16,15,2500.15
ACC000317,retail,2024-12-04,28,3317.01
ACC000318,retail,2025-12-23,24,4255.01
ACC000319,retail,2025-12-24,2,3080.7
ACC000320,small_business,2024-03-31,22,4565.08
ACC000321,new_account,2025-07-13,21,0.0
ACC000322,retail,2025-06-10,21,7476.79
ACC000323,retail,2021-06-20,4,2578.25
ACC000324,retail,2025-05-30,2,5607.32
ACC000325,retail,2025-11-16,13,2418.39
ACC000326,retail,2025-08-19,24,1994.89
ACC000327,retail,2025-12-25,11,2192.68
ACC000328,new_account,2025-05-23,26,0.0
ACC000329,retail,2024-10-03,28,4419.27
ACC000330,small_business,2025-04-25,4,2736.42
ACC000331,retail,2025-10-20,8,3186.19
ACC000332,retail,2025-03-20,7,3629.97
ACC000333,retail,2025-10-16,7,2323.3
ACC000334,retail,2025-07-13,18,2387.04
ACC000335,retail,2022-03-13,15,5261.66
ACC000336,retail,2025-10-27,5,2372.5
ACC000337,retail,2025-09-22,14,3233.01
ACC000338,retail,2025-01-19,6,1625.71
ACC000339,retail,2023-09-15,9,2332.94
ACC000340,retail,2022-08-04,15,2552.73
ACC000341,retail,2024-03-09,8,3879.33
ACC000342,retail,2025-06-05,28,6661.38
ACC000343,retail,2025-09-03,3,2941.72
ACC000344,retail,2025-09-24,15,6110.86
ACC000345,retail,2025-12-01,26,2961.44
ACC000346,retail,2025-01-08,28,4795.14
ACC000347,retail,2025-07-15,28,3915.73
ACC000348,retail,2023-09-11,18,6239.67
ACC000349,retail,2024-10-29,4,4138.93
ACC000350,retail,2024-10-03,2,3651.56
ACC000351,retail,2024-06-22,21,2788.2
ACC000352,retail,2024-07-06,18,3161.13
ACC000353,retail,2024-02-20,27,3015.43
ACC000354,retail,2025-08-19,1,4971.02
ACC000355,retail,2021-08-26,3,1730.31
ACC000356,retail,2025-02-25,25,4017.85
ACC000357,retail,2025-11-17,28,3293.66
ACC000358,small_business,2025-07-18,8,5602.57
ACC000359,retail,2023-01-22,6,2493.46
ACC000360,retail,2024-08-27,14,3221.61
ACC000361,retail,2025-01-17,16,4807.91
ACC000362,retail,2023-10-04,16,1620.88
ACC000363,new_account,2022-03-16,7,0.0
ACC000364,retail,2025-11-07,28,5575.9
ACC000365,retail,2025-05-10,13,2903.58
ACC000366,retail,2019-08-06,2,1670.36
ACC000367,retail,2024-04-08,6,1237.04
ACC000368,retail,2025-09-24,13,3286.31
ACC000369,retail,2025-08-27,1,2378.84
ACC000370,small_business,2025-10-28,13,3866.41
ACC000371,retail,2024-11-20,9,2865.02
ACC000372,retail,2025-08-26,26,2927.09
ACC000373,retail,2025-09-19,26,3285.7
ACC000374,retail,2025-12-20,15,1806.93
ACC000375,retail,2025-04-20,10,5310.84
ACC000376,small_business,2025-10-11,14,3418.95
ACC000377,retail,2023-12-18,23,3578.51
ACC000378,retail,2024-12-04,24,3224.74
ACC000379,retail,2025-04-14,26,3958.43
ACC000380,retail,2025-11-09,18,2274.34
ACC000381,retail,2025-04-06,22,6126.48
ACC000382,retail,2025-01-18,23,4172.44
ACC000383,retail,2025-05-04,16,2296.06
ACC000384,retail,2025-12-02,5,2487.61
ACC000385,retail,2025-08-17,7,1130.54
ACC000386,retail,2023-11-07,10,2024.77
ACC000387,retail,2021-04-11,7,2924.61
ACC000388,retail,2025-03-31,2,5439.05
ACC000389,retail,2025-12-29,19,4234.18
ACC000390,retail,2025-03-16,24,2700.33
ACC000391,retail,2025-11-30,18,2269.25
ACC000392,retail,2025-11-06,2,6118.51
ACC000393,retail,2025-10-04,24,3851.96
ACC000394,retail,2025-11-18,11,5217.34
ACC000395,retail,2022-12-28,2,4315.0
ACC000396,retail,2025-02-24,2,3941.39
ACC000397,retail,2024-03-25,19,3489.08
ACC000398,retail,2024-02-27,16,5049.06
ACC000399,retail,2024-11-15,17,3226.13
ACC000400,retail,2024-07-24,28,2297.17
ACC000401,retail,2025-09-25,17,2456.38
ACC000402,new_account,2025-07-21,6,0.0
ACC000403,retail,2024-04-18,2,2952.06
ACC000404,retail,2024-08-11,17,7022.74
ACC000405,retail,2019-11-11,3,3026.62
ACC000406,retail,2024-10-02,28,3127.57
ACC000407,retail,2025-12-20,6,2689.34
ACC000408,retail,2024-07-31,3,1529.3
ACC000409,retail,2025-05-25,20,1825.65
ACC000410,new_account,2025-12-16,3,0.0
ACC000411,retail,2025-01-21,22,1659.46
ACC000412,retail,2024-08-03,28,4589.25
ACC000413,small_business,2025-05-27,8,2935.39
ACC000414,retail,2025-01-08,13,5380.93
ACC000415,retail,2025-11-06,4,5177.29
ACC000416,retail,2023-05-19,19,2391.98
ACC000417,new_account,2025-10-14,8,0.0
ACC000418,retail,2025-04-05,19,2278.68
ACC000419,retail,2023-10-06,20,4058.95
ACC000420,retail,2025-01-07,2,953.92
ACC000421,retail,2025-06-17,20,1776.02
ACC000422,retail,2025-11-06,3,4742.55
ACC000423,small_business,2025-05-05,14,3073.98
ACC000424,retail,2024-01-26,22,1784.34
ACC000425,retail,2025-09-09,19,5433.31
ACC000426,retail,2025-10-20,19,4188.46
ACC000427,retail,2024-07-17,17,2621.09
ACC000428,retail,2024-03-17,11,6841.07
ACC000429,retail,2023-10-14,9,2687.54
ACC000430,retail,2025-12-09,7,2755.79
ACC000431,retail,2022-12-25,22,3996.03
ACC000432,retail,2025-03-24,23,2886.25
ACC000433,retail,2025-10-29,11,4300.69
ACC000434,retail,2025-03-18,8,3424.1
ACC000435,retail,2024-10-19,9,4643.73
ACC000436,retail,2024-10-11,13,1966.55
ACC000437,small_business,2025-11-23,5,2322.72
ACC000438,retail,2025-10-16,22,6409.99
ACC000439,retail,2024-01-04,21,3165.82
ACC000440,retail,2024-12-13,10,3449.5
ACC000441,retail,2025-01-28,15,4638.8
ACC000442,retail,2024-10-28,11,4792.52
ACC000443,retail,2024-11-06,25,3364.57
ACC000444,new_account,2025-12-13,3,0.0
ACC000445,new_account,2025-06-07,1,0.0
ACC000446,retail,2024-05-01,15,2204.57
ACC000447,retail,2024-07-14,20,2703.59
ACC000448,retail,2024-10-18,19,4383.64
ACC000449,retail,2024-06-06,4,2646.45
ACC000450,retail,2025-11-11,3,5168.22
ACC000451,retail,2025-12-30,18,1922.71
ACC000452,retail,2024-09-13,7,1675.69
ACC000453,retail,2025-05-08,17,2308.64
ACC000454,retail,2025-12-02,9,1755.95
ACC000455,retail,2024-10-17,5,2263.66
ACC000456,retail,2023-10-28,12,7339.12
ACC000457,retail,2025-04-16,3,1709.87
ACC000458,retail,2025-03-02,8,1543.55
ACC000459,retail,2024-06-01,12,3781.6
ACC000460,small_business,2025-12-25,10,4193.82
ACC000461,retail,2025-12-29,6,4038.27
ACC000462,retail,2023-02-19,15,3335.83
ACC000463,retail,2023-01-08,27,2204.85
ACC000464,retail,2025-09-05,18,2664.39
ACC000465,retail,2025-08-08,23,3203.37
ACC000466,retail,2024-12-21,10,5202.01
ACC000467,retail,2025-08-27,20,2012.24
ACC000468,retail,2024-10-01,26,2724.79
ACC000469,retail,2025-03-10,21,2343.62
ACC000470,retail,2025-09-05,17,3387.72
ACC000471,small_business,2025-04-12,1,3260.27
ACC000472,retail,2024-11-26,22,5144.36
ACC000473,small_business,2024-12-29,27,3039.79
ACC000474,retail,2025-09-28,18,3029.75
ACC000475,retail,2025-06-04,10,1812.49
ACC000476,retail,2025-08-26,22,2259.36
ACC000477,retail,2025-05-26,4,2276.98
ACC000478,retail,2025-05-06,5,3332.9
ACC000479,retail,2025-10-20,9,3841.09
ACC000480,retail,2025-11-22,4,3517.55
ACC000481,retail,2024-11-17,4,4383.28
ACC000482,retail,2025-06-17,24,7217.11
ACC000483,retail,2025-04-02,18,2161.44
ACC000484,retail,2024-08-14,5,5742.48
ACC000485,retail,2020-10-24,9,3742.81
ACC000486,retail,2025-11-29,10,5717.91
ACC000487,retail,2023-07-18,20,2362.15
ACC000488,retail,2025-07-10,7,1986.44
ACC000489,retail,2025-03-15,23,3273.17
ACC000490,retail,2024-11-07,11,1599.81
ACC000491,retail,2025-07-29,7,4871.06
ACC000492,new_account,2024-10-25,22,0.0
ACC000493,retail,2024-07-26,21,1837.47
ACC000494,retail,2025-12-08,28,3726.9
ACC000495,retail,2024-09-20,9,3072.98
ACC000496,retail,2025-03-01,17,2851.24
ACC000497,retail,2025-07-15,16,2076.5
ACC000498,retail,2024-04-07,9,1925.76
ACC000499,new_account,2023-02-20,28,0.0
ACC000500,retail,2023-12-25,2,2626.58
ACC000501,retail,2024-12-07,3,3218.98
ACC000502,retail,2024-02-02,21,2634.25
ACC000503,retail,2024-08-26,14,2176.78
ACC000504,retail,2022-12-23,27,1750.24
ACC000505,retail,2025-08-09,9,1917.26
ACC000506,retail,2025-03-17,2,1259.97
ACC000507,small_business,2025-04-02,1,3080.14
ACC000508,retail,2023-09-13,11,2865.35
ACC000509,retail,2024-03-17,25,2281.9
ACC000510,retail,2025-06-09,5,4432.93
ACC000511,retail,2024-09-14,21,3014.75
ACC000512,retail,2024-02-10,9,2970.1
ACC000513,retail,2023-11-01,6,2951.27
ACC000514,retail,2024-06-02,24,4134.44
ACC000515,retail,2025-03-28,15,1946.82
ACC000516,retail,2025-12-04,18,2638.35
ACC000517,retail,2025-11-04,23,3049.28
ACC000518,small_business,2025-05-20,14,3684.45
ACC000519,retail,2025-03-25,18,2047.28
ACC000520,retail,2025-09-26,1,2814.01
ACC000521,retail,2024-11-07,4,2737.01
ACC000522,retail,2020-03-25,3,5411.55
ACC000523,retail,2024-09-13,23,2332.37
ACC000524,retail,2025-12-07,5,2641.26
ACC000525,retail,2019-09-30,18,3550.26
ACC000526,retail,2024-12-06,2,4799.46
ACC000527,retail,2025-05-24,27,1725.46
ACC000528,retail,2025-06-02,12,2724.65
ACC000529,retail,2024-07-21,19,2367.04
ACC000530,retail,2025-09-03,18,1057.42
ACC000531,retail,2025-11-04,5,1649.84
ACC000532,retail,2025-09-13,14,3207.81
ACC000533,new_account,2024-03-26,5,0.0
ACC000534,small_business,2025-04-09,2,3127.01
ACC000535,retail,2023-12-19,10,2019.84
ACC000536,retail,2025-04-09,12,2496.61
ACC000537,retail,2025-04-18,26,2092.42
ACC000538,retail,2025-06-15,28,5369.38
ACC000539,retail,2022-08-07,2,2741.53
ACC000540,retail,2025-08-03,12,2339.64
ACC000541,retail,2023-12-28,7,6188.23
ACC000542,retail,2023-06-18,22,7065.11
ACC000543,retail,2023-07-15,8,2339.55
ACC000544,retail,2024-12-17,22,3019.36
ACC000545,retail,2024-07-16,4,2205.33
ACC000546,retail,2024-10-02,12,2575.69
ACC000547,retail,2025-12-28,25,3209.51
ACC000548,small_business,2024-07-15,18,1739.15
ACC000549,retail,2024-05-15,28,2021.01
ACC000550,retail,2025-10-12,14,4789.98
ACC000551,retail,2025-12-24,20,3974.21
ACC000552,retail,2022-03-28,24,4440.04
ACC000553,retail,2025-06-23,5,2202.35
ACC000554,retail,2025-11-11,8,5070.92
ACC000555,retail,2025-03-05,28,3723.77
ACC000556,retail,2022-03-21,6,2304.44
ACC000557,new_account,2024-12-29,26,0.0
ACC000558,retail,2024-06-29,26,4320.54
ACC000559,retail,2024-10-31,6,2576.07
ACC000560,small_business,2025-09-22,14,2130.94
ACC000561,retail,2025-05-20,1,6785.09
ACC000562,small_business,2025-09-13,6,1917.38
ACC000563,retail,2025-10-06,24,3370.99
ACC000564,retail,2024-02-24,11,4131.08
ACC000565,retail,2023-12-14,26,2788.2
ACC000566,retail,2025-04-30,14,3337.68
ACC000567,retail,2024-07-29,26,3886.07
ACC000568,retail,2025-02-20,22,4766.6
ACC000569,new_account,2022-12-20,28,0.0
ACC000570,retail,2025-10-21,24,3497.75
ACC000571,retail,2025-09-27,26,2297.23
ACC000572,retail,2023-12-29,8,3372.92
ACC000573,retail,2025-03-23,9,5889.26
ACC000574,retail,2025-02-03,6,4029.25
ACC000575,retail,2024-06-08,26,3471.92
ACC000576,retail,2025-04-29,23,2741.86
ACC000577,retail,2025-10-02,4,2121.32
ACC000578,retail,2024-07-22,13,1847.61
ACC000579,retail,2024-04-29,28,3561.16
ACC000580,retail,2025-12-30,2,2177.74
ACC000581,small_business,2025-07-02,28,3863.44
ACC000582,retail,2025-10-29,16,3979.66
ACC000583,new_account,2025-07-02,8,0.0
ACC000584,retail,2024-08-07,7,2567.96
ACC000585,retail,2025-01-07,27,1690.29
ACC000586,retail,2025-12-31,15,1473.91
ACC000587,retail,2025-07-10,12,2390.5
ACC000588,retail,2025-12-06,10,8293.93
ACC000589,retail,2025-02-06,27,6799.48
ACC000590,retail,2024-03-19,26,4833.6
ACC000591,retail,2024-02-04,28,2148.92
ACC000592,retail,2025-07-23,8,2976.94
ACC000593,retail,2024-08-28,8,3088.26
ACC000594,retail,2025-10-30,1,5383.06
ACC000595,retail,2025-05-19,22,2883.98
ACC000596,retail,2024-07-18,7,2839.27
ACC000597,new_account,2023-01-16,13,0.0
ACC000598,retail,2025-05-28,11,4858.15
ACC000599,retail,2025-06-05,9,3762.5
ACC000600,retail,2025-06-22,28,6334.93
ACC000601,retail,2025-07-06,3,5526.43
ACC000602,retail,2025-12-22,25,3153.77
ACC000603,retail,2022-11-29,9,1469.42
